mx,my,SRGbb28001400,SRGbb23001000,SRGbb21001600,SRGbb20001800
2000,400,0.0920306768922974,0.0862509725464043,0.0128931866177614,0.0016672224074691
2000,600,0.0874347924699478,0.0823315944658652,0.0155364028124291,0.0019278748015422
2000,800,0.0777184410862402,0.073059879559141,0.0196568571753209,0.0021588455857288
2000,1000,0.0572887124220079,0.0560408394781622,0.0304027226318774,0.0022688598979013
2000,1200,0.032422627819975,0.0346899444507425,0.0391112118807391,0.0035143407776896
2000,1400,0.0079131810988017,0.0081392719873389,0.0275830884015374,0.0031652724395206
2000,1600,0.001695873374788,0.0014697569248162,0.0079140757490107,0.0032786885245901
2000,1800,0.0001136105430583,0.0001136105430583,0.0002272210861167,0.0018177686889343
2000,1980,0.0,0.0,0.0,0.0
2100,1,0.0886611717531744,0.0815326353308086,0.0087992871463577,0.0017821341055914
2100,200,0.0855572998430141,0.0789414666965687,0.010091948867459,0.0016819914779098
2100,400,0.0911925175370226,0.0836209776194187,0.009241732546487,0.0010021155773299
2100,600,0.088499452354874,0.0830230010952902,0.0117196056955093,0.0015334063526834
2100,800,0.0892438288841729,0.0844409695074276,0.0177594102535463,0.0021221936780967
2100,1000,0.0748752079866888,0.0728785357737104,0.023516361619523,0.0026622296173044
2100,1200,0.0500667556742323,0.0499554962171784,0.033266577659101,0.0016688918558077
2100,1400,0.0148662041625371,0.0176192049333773,0.0377711705759277,0.0026428807400066
2100,1600,0.0037895675434685,0.0041239411502452,0.0227374052608114,0.0020062416406598
2100,1800,0.0006672597864768,0.0008896797153024,0.0008896797153024,0.0036699288256227
2100,2000,0.0,0.0,0.0,0.0002218524681087
2200,1,0.0818880351262349,0.0732162458836443,0.0061470911086717,0.0006586169045005
2200,200,0.0858229223248234,0.0778924497555676,0.007821835958718,0.0015209125475285
2200,400,0.0890373453071952,0.0824663235133063,0.0094184645712408,0.0009856532690833
2200,600,0.095565749235474,0.0889034512887723,0.0122324159021406,0.0012013979903888
2200,800,0.0977295162882527,0.0912580892837556,0.0171108917407041,0.0028518152901173
2200,1000,0.0860498298759741,0.0813302601251234,0.0216222149050598,0.0019756338491932
2200,1200,0.0652744369123114,0.0643997375902033,0.0332385742401049,0.001749398644216
2200,1400,0.0291538798772468,0.0309074967119684,0.0367163524769837,0.0028496273564226
2200,1600,0.0070012925463162,0.0079707022834984,0.0356527358897027,0.0036622145626884
2200,1800,0.0010816657652785,0.0008653326122228,0.0080043266630611,0.0025959978366684
2200,2000,0.0,0.0,0.0001083071591032,0.0011913787501353
2300,1,0.0858350493118023,0.0784653733607889,0.0092120949387666,0.001083775875149
2300,200,0.0829363360762234,0.0758986574274577,0.0074707665656128,0.000974447812906
2300,400,0.0904168922577152,0.0821873308067135,0.0083378451543042,0.0014076881429344
2300,600,0.0916046987821963,0.084384093113482,0.0099148615152494,0.0016165535079211
2300,800,0.0929439351950543,0.0866552973779578,0.0139629076955872,0.0013856320613941
2300,1000,0.0921848013816925,0.086247841105354,0.0177029360967184,0.0026986183074265
2300,1200,0.0732995580467823,0.0726527972404872,0.0267327799935323,0.0019402824188854
2300,1400,0.0461455525606469,0.0479784366576819,0.0343935309973045,0.0021563342318059
2300,1600,0.0180755493018724,0.020781469856045,0.043727676155428,0.0031388678428401
2300,1800,0.0028044439650523,0.002480854276777,0.0228670046381188,0.0029123071944774
2300,2000,0.0004313598619648,0.0002156799309824,0.0010783996549121,0.0024803192062978
2300,2200,0.0,0.0,0.0,0.0
2400,1,0.0854737290845145,0.0769476713204732,0.006394543323031,0.0017052115528082
2400,200,0.0866773675762439,0.0757624398073836,0.0075976457998929,0.0008560727661851
2400,400,0.0921871646276024,0.0819918437432925,0.0095514058810903,0.0025756600128783
2400,600,0.0912013717715143,0.0826277998070946,0.0102882863573036,0.0013932054442181
2400,800,0.0998396579369321,0.092036344200962,0.0118653126670229,0.0023516835916622
2400,1000,0.096688881836454,0.0879086004443033,0.0165026975563313,0.0015867978419549
2400,1200,0.0827349694566498,0.0806987461151002,0.0208980816632729,0.0017147143928839
2400,1400,0.0639752216170031,0.0637616148670298,0.0324682259959414,0.0027768877496528
2400,1600,0.0303548525010688,0.0306755023514322,0.0387986318939717,0.0024583155194527
2400,1800,0.0065177903622181,0.0071588844962068,0.0378245539053317,0.0020301314242974
2400,2000,0.0006360648786176,0.0004240432524117,0.0076327785434114,0.0013781405703381
2400,2200,0.0,0.0,0.0,0.0010681478316599
2500,1,0.0796441431900021,0.0703240838805337,0.0083668714255454,0.0011650074136835
2500,200,0.0820620725933719,0.0731194108364018,0.0072593371909521,0.0016833245660178
2500,400,0.0913791284161654,0.0833597129893426,0.0074918223066371,0.0005275931201857
2500,600,0.0969242151992389,0.0877285699186132,0.0083500687030969,0.001056970721911
2500,800,0.0978799704672502,0.0902858348275498,0.012762366838941,0.002004008016032
2500,1000,0.1004435994930291,0.0928390367553865,0.0130967469370511,0.0014786649767638
2500,1200,0.0932587825720012,0.0879839645532229,0.0184618630657242,0.001687941766009
2500,1400,0.0830951624854451,0.0799195511802688,0.026992696093998,0.0031756113051762
2500,1600,0.0467606828544162,0.0483511822712331,0.0331884211642455,0.002332732477998
2500,1800,0.0136479052052475,0.0153406686415573,0.0385103681760473,0.002644942869234
2500,2000,0.0023223899503853,0.0027446426686371,0.0257574158133643,0.0025335163095112
2600,1,0.081418529010597,0.0719756583779246,0.0066100094428706,0.0009442870632672
