mx,my,SR1,SR2,SR3,SR4,SR5,SR6,SR7,SR8,SR9,SR10,SR11,SR12,SR13,SR14,SR15,SR16,SR17,SR18,SR19,SR20,SR21,SR22,SR23,SR24,SR25,SR26,SR27,SR28,SR29,SR30,SR31,SR32,SR33,SR34,SR35,SR36,SR37,SR38,SR39,SR40,SR41,SR42,SR43,SR44,SR45,SR46,SR47,SR48,SR49
2800,600,0.0,0.0,0.0,0.0,2.0277394760321195e-05,4.055478952064239e-05,6.083218428096358e-05,0.0001216643685619,0.0,2.0277394760321195e-05,0.0,0.0,0.0011963662908589,0.0018452429231892,0.0013383080541811,0.0031429961878497,0.0002027739476032,0.0003649931056857,6.083218428096358e-05,0.0003852705004461,0.0348771189877524,0.0295036093762673,0.0282464109011274,0.0499026685051504,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2.0277394760321195e-05,8.110957904128478e-05,2.0277394760321195e-05,2.0277394760321195e-05,2.0277394760321195e-05,0.0031227187930894,0.0017033011598669,0.0023521777921972,0.0034674345040149,0.0109092383810528
2800,800,0.0,0.0,0.0,2.026835299363574e-05,2.026835299363574e-05,2.026835299363574e-05,0.0,0.0001216101179618,0.0,2.026835299363574e-05,0.0,4.053670598727148e-05,0.0003445620008918,0.0016214682394908,0.0003040252949045,0.0042766224816571,8.107341197454295e-05,0.0002634885889172,0.0001824151769427,0.0003648303538854,0.0114313510884105,0.0304633345494345,0.011350277676436,0.0654465118164498,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,6.080505898090721e-05,0.0,2.026835299363574e-05,0.0007499290607645,0.0020876403583444,0.0007499290607645,0.0043982325996189,0.0073371437836961
2800,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001419014798297,0.0,4.054327995134806e-05,0.0,0.0,0.000121629839854,0.0011554834786134,8.108655990269612e-05,0.0040745996351104,0.0,0.000243259679708,6.0814919927022095e-05,0.0004662477194405,0.0030812892763024,0.0241637948510034,0.0035272653557672,0.064362456922765,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,4.054327995134806e-05,0.0,8.108655990269612e-05,0.0001419014798297,0.0017839043178593,0.0002229880397324,0.0050881816338941,0.0056760591931887
2800,1200,0.0,0.0,0.0,0.0,0.0,2.0279450832471456e-05,0.0,0.0001419561558273,0.0,0.0,0.0,2.0279450832471456e-05,0.0,0.0011153697957859,8.111780332988582e-05,0.0041572874206566,4.055890166494291e-05,0.0001216767049948,0.0,0.0003244712133195,0.0007300602299689,0.0172578126584332,0.0008111780332988,0.0577964348725436,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001419561558273,4.055890166494291e-05,0.0012776054024457,0.0001622356066597,0.0045831558881385,0.0039139340106669
2800,1400,0.0,0.0,0.0,0.0,0.0,4.052356445272927e-05,0.0,0.0001418324755845,0.0,0.0,0.0,4.052356445272927e-05,0.0,0.0007091623779227,0.0,0.0039915710985938,0.0,0.0001215706933581,0.0,0.0003849738623009,0.0001418324755845,0.0119341897313287,0.0003241885156218,0.0497224135834988,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,4.052356445272927e-05,0.0,8.104712890545853e-05,0.0,0.0009725655468655,4.052356445272927e-05,0.0041334035741783,0.0028569112939174
2800,1600,0.0,0.0,0.0,0.0,0.0,2.02860330662339e-05,0.0,6.0858099198701695e-05,0.0,0.0,0.0,6.0858099198701695e-05,0.0,0.0007100111573181,0.0,0.0037934881833857,0.0,6.0858099198701695e-05,0.0,0.0003042904959935,8.11441322649356e-05,0.0069378233086519,2.02860330662339e-05,0.0411806471244548,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,4.05720661324678e-05,0.0,0.0001622882645298,0.0,0.0007505832234506,0.0,0.0038543462825844,0.0021300334719545
2800,1800,0.0,0.0,0.0,0.0,0.0,2.026753141467369e-05,0.0,0.0001418727199027,0.0,0.0,0.0,6.080259424402108e-05,0.0,0.0006890960680989,0.0,0.0046412646939602,0.0,0.0,0.0,0.0002229428455614,0.0,0.0046615322253749,0.0,0.0332184839886501,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001418727199027,0.0,0.0004458856911228,0.0,0.0033036076205918,0.0014187271990271
2800,1900,0.0,0.0,0.0,0.0,0.0,2.027287286881424e-05,0.0,8.109149147525696e-05,0.0,0.0,0.0,2.027287286881424e-05,0.0,0.0006892776775396,0.0,0.0049263081071218,0.0,2.027287286881424e-05,0.0,0.0003040930930322,0.0,0.0039329373365499,0.0,0.0305714922861718,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2.027287286881424e-05,0.0,2.027287286881424e-05,0.0,0.0002432744744257,0.0,0.000324365965901,0.0,0.0030003851845845,0.0014596468465546
2800,2000,0.0,0.0,0.0,0.0,0.0,6.080752391762608e-05,0.0,8.107669855683477e-05,0.0,0.0,0.0,4.053834927841738e-05,0.0,0.0004459218420625,0.0,0.0062023674395978,0.0,2.026917463920869e-05,0.0,0.000202691746392,0.0,0.003405221339387,0.0,0.0261472352845792,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2.026917463920869e-05,0.0,2.026917463920869e-05,0.0,0.0001824225717528,0.0,0.0002432300956705,0.0,0.00281741527485,0.0010134587319604
2800,2100,0.0,0.0,0.0,0.0,0.0,2.0282330034074315e-05,0.0,0.0001014116501703,0.0,2.0282330034074315e-05,0.0,6.084699010222295e-05,0.0,0.0005881875709881,0.0,0.0067540159013467,0.0,2.0282330034074315e-05,0.0,0.0003042349505111,0.0,0.0027583968846341,0.0,0.0226959273081291,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001419763102385,0.0,0.0002636702904429,0.0,0.0024947265941911,0.0009127048515333
